Date,Time,PM2.5_µg/m³_combustion_particles_organic_compounds_metals_sensor,PM2.5_mg/m³_aeroequal,PM2.5_µg/m³_council,PM10_µg/m³_dust_pollen_mould_spores_sensor,PM10_mg/m³_aeroequal,PM10_µg/m³_council,NO2_ppb_sensor,NO2_ppm_aeroequal,NO2_µg/m³_council,Wind_value_km/h,PM1.0_µg/m³_ultrafine_particles_sensor,PM1.0_µg/m³_atmos_env,PM2.5_µg/m³_atmos_env,PM10_µg/m³_atmos_env,GT_0.3um_in_0.1l_air,GT_0.5um_in_0.1l_air,GT_1.0um_in_0.1l_air,GT_2.5um_in_0.1l_air,GT_5.0um_in_0.1l_air,GT_10um_in_0.1l_air,CO2_in_ppm,Temperature_in_c,Relative_humidity,NO2_µg/m³_sensor,Temp_value_°c,NO_µg/m³_council,NOx_as_NO2_µg/m³_council,NV10_µg/m³_council,NV2.5_µg/m³_council,V10_µg/m³_council,V2.5_µg/m³_council
2024-08-21,12:00:00,1.3666666666666667,0.00046666666666666666,3.8,1.8666666666666667,0.0011,12.4,-0.45068744727272725,0.0,11.69972,0.31,0.3,0.3,1.3666666666666667,1.8666666666666667,217.2,64.15,17.366666666666667,2.0,1.0,0.0,393.72183333333334,23.15083333333333,45.094500000000004,-0.8619397636363636,21.386666666666667,8.60013,24.88641,8.9,1.4,3.6,2.4
2024-08-21,13:00:00,0.75,0.0005833333333333334,5.3,1.6,0.0023833333333333332,18.5,0.2302861818181818,0.0,8.76881,0.675,0.15,0.15,0.75,1.6,218.65,63.516666666666666,10.8,1.0,1.0,1.0,391.07633333333337,23.1625,44.48533333333333,0.4404223218181818,22.09,7.5181,20.29641,15.7,3.2,2.8,2.1
2024-08-21,14:00:00,1.0166666666666666,0.0007333333333333333,6.3,1.7333333333333334,0.0033833333333333337,18.1,0.42218594727272724,0.0001,8.97919,0.6,0.0,0.0,1.0166666666666666,1.7333333333333334,193.7,52.15,12.633333333333333,2.1,0.9333333333333333,0.9333333333333333,363.3041666666667,23.550166666666666,44.6385,0.8074306527272728,22.220000000000002,9.14271,22.99781,13.8,2.6,4.4,3.7
2024-08-21,15:00:00,1.65,0.0006666666666666666,4.4,2.283333333333333,0.0016666666666666668,13.8,0.29404678363636366,0.00016666666666666666,9.73941,0.7633333333333333,0.21666666666666667,0.21666666666666667,1.65,2.283333333333333,197.5,56.13333333333333,16.4,4.466666666666667,1.0666666666666667,1.0666666666666667,367.21366666666665,23.37316666666667,46.13699999999999,0.5623644636363636,22.541666666666668,11.26624,27.01406,12.3,3.4,1.5,1.0
2024-08-21,16:00:00,1.2333333333333334,0.0007,4.3,1.9166666666666667,0.002833333333333333,13.0,0.23450286909090912,0.00021666666666666668,7.97513,0.5416666666666666,0.5,0.5,1.2333333333333334,1.9166666666666667,227.85,67.68333333333334,17.2,1.2666666666666666,0.8333333333333334,0.8333333333333334,393.14666666666665,22.908833333333334,48.338499999999996,0.4484867509090909,22.418333333333333,7.01918,18.73772,10.9,2.8,2.1,1.5
2024-08-21,17:00:00,1.0,0.0005833333333333334,2.0,2.2666666666666666,0.0017333333333333333,10.2,0.6945420685185185,0.00043333333333333337,8.05641,0.415,0.08333333333333333,0.08333333333333333,1.0,2.2666666666666666,204.7,60.416666666666664,11.833333333333334,4.1,1.1666666666666667,1.1666666666666667,450.48133333333334,23.55,47.790499999999994,1.328311724074074,22.946666666666665,8.99303,21.84553,9.4,1.7,0.8,0.3
2024-08-21,18:00:00,4.9491525423728815,0.0007,5.9,5.762711864406779,0.0025833333333333333,16.4,0.19859039636363637,0.0002,15.00834,0.5033333333333333,3.288135593220339,3.288135593220339,4.9491525423728815,5.762711864406779,634.1186440677966,188.4915254237288,37.42372881355932,4.5423728813559325,0.576271186440678,0.576271186440678,457.8596610169492,23.825084745762712,47.241186440677964,0.37980414727272727,23.435,13.56751,35.81156,14.0,4.1,2.3,1.7
2024-08-21,19:00:00,7.133333333333334,0.0009166666666666666,6.3,8.35,0.0022,16.1,-0.07287819999999999,0.0003333333333333333,10.87734,0.14,3.9,3.9,7.133333333333334,8.35,720.85,218.13333333333333,47.35,9.3,2.0,0.43333333333333335,455.66816666666665,23.637166666666666,48.477666666666664,-0.1393795509090909,20.813333333333333,8.73422,24.26963,16.1,6.6,-0.1,-0.3
2024-08-21,20:00:00,6.56,0.0005925925925925926,6.1,7.44,0.0012592592592592594,15.1,-0.04154953043478261,0.00042307692307692304,12.03919,0.24615384615384614,2.92,2.92,6.56,7.44,641.76,190.44,48.36,9.04,1.04,0.0,443.1676,23.3268,49.1824,-0.07946345217391305,19.819230769230767,10.30894,27.846,14.3,5.9,0.8,0.3
2024-08-22,10:00:00,7.882352941176471,0.0009545454545454546,9.5,8.0,0.0018636363636363638,21.1,-0.08194200555555557,0.01695,13.57875,0.95625,5.647058823529412,5.647058823529412,7.882352941176471,8.0,1006.7647058823529,294.94117647058823,56.23529411764706,2.4705882352941178,0.11764705882352941,0.11764705882352941,535.1400000000001,23.948823529411765,61.29176470588236,-0.15671408888888894,22.13125,11.33796,30.96338,20.7,10.1,0.4,-0.6
2024-08-22,11:00:00,8.6,0.0008333333333333334,5.2,10.45,0.0024000000000000002,13.9,0.054651956363636366,0.0016666666666666668,11.44631,0.73,5.1,5.1,8.6,10.45,1010.85,297.4,61.9,8.3,2.3,1.3,429.94016666666664,23.987166666666667,60.080000000000005,0.10452185454545454,21.748333333333335,12.61644,30.79125,11.7,4.0,2.2,1.2
2024-08-22,12:00:00,7.25,0.00035,2.7,7.75,0.0011333333333333334,8.7,0.7590908254545455,0.0027833333333333334,9.60075,0.5166666666666667,4.85,4.85,7.25,7.75,913.8,265.8,44.85,4.6,0.7,0.7,394.14816666666667,24.019,60.53866666666667,1.4517612054545455,22.295,9.39841,24.01144,9.3,3.6,-0.5,-0.8
2024-08-22,13:00:00,8.7,0.00038333333333333334,7.8,10.1,0.0010333333333333334,13.4,0.76596494,0.004966666666666666,11.48456,0.525,5.8,5.8,8.7,10.1,1009.5,307.5,58.05,4.2,1.8,1.2,417.1023333333333,24.150666666666666,61.1475,1.4649079490909092,22.273333333333333,11.05732,28.43888,8.5,3.8,4.9,4.0
2024-08-22,14:00:00,7.9,0.00028333333333333335,4.4,12.05,0.0014166666666666666,9.7,1.03949506,0.004216666666666666,12.546,0.3783333333333333,4.8,4.8,7.9,12.05,884.7,264.1,61.35,8.2,5.2,4.8,392.39033333333333,24.188666666666666,61.516333333333336,1.988034318181818,22.101666666666667,14.37825,34.59234,8.5,3.7,1.3,0.6
2024-08-22,15:00:00,9.733333333333333,0.0004,4.7,11.233333333333333,0.0012333333333333332,9.4,1.7793790636363636,0.004533333333333334,13.74609,0.2966666666666667,4.95,4.95,9.733333333333333,11.233333333333333,992.95,282.9,55.63333333333333,14.733333333333333,2.0,1.4666666666666666,448.014,24.65533333333333,62.25416666666667,3.4030625090909092,23.25,14.11944,35.39559,5.6,2.2,3.8,2.5
2024-08-22,16:00:00,10.2,0.00025,2.5,13.85,0.00095,5.2,1.702608989090909,0.00675,8.91225,0.2383333333333333,6.1,6.1,10.2,13.85,1101.0,333.5,72.25,11.9,4.5,4.5,435.87966666666665,24.737833333333334,63.69083333333333,3.2562397345454546,23.015,12.63515,28.28588,3.9,1.8,1.2,0.7
2024-08-22,17:00:00,9.033333333333333,8.333333333333333e-05,6.3,11.133333333333333,0.0006166666666666667,8.7,1.3842617436363636,0.00805,10.51875,0.3733333333333333,6.033333333333333,6.033333333333333,9.033333333333333,11.133333333333333,1116.45,330.45,52.8,7.9,2.8,2.8,408.6295,25.3055,64.61683333333333,2.647400609090909,23.68166666666667,14.59341,32.895,6.5,4.7,2.2,1.6
2024-08-22,18:00:00,6.983333333333333,0.0001,4.5,7.95,0.0005333333333333334,8.7,0.9188826781818181,0.004116666666666667,11.79534,0.18166666666666667,4.5,4.5,6.983333333333333,7.95,892.55,259.76666666666665,45.266666666666666,5.166666666666667,1.1,1.1,425.1836666666667,24.707833333333333,64.50366666666667,1.7573631636363636,22.646666666666665,12.86278,31.518,3.0,0.0,5.7,4.5
2024-08-22,19:00:00,10.8125,0.00035294117647058826,9.0,12.25,0.0011176470588235294,14.0,1.1811021428571429,0.004352941176470588,14.40591,0.058823529411764705,3.625,3.625,10.8125,12.25,954.75,275.9375,64.5625,20.5,2.0,1.875,451.018125,24.556875,64.62125,2.258857857142857,22.01764705882353,12.84407,34.09988,9.6,5.6,4.4,3.4
